1 -> 0.559665 	- 0.559865 	| 0.0002 	-> 0s, 200.0ms
0 -> 0.559898 	- 0.560171 	| 0.000273 	-> 0s, 273.0ms
1 -> 0.560202 	- 0.560369 	| 0.000167 	-> 0s, 167.0ms
0 -> 0.560402 	- 0.561675 	| 0.001273 	-> 0s, 1273.0ms
1 -> 0.561705 	- 0.561878 	| 0.000173 	-> 0s, 173.0ms
0 -> 0.561912 	- 0.562186 	| 0.000274 	-> 0s, 274.0ms
1 -> 0.562216 	- 0.562391 	| 0.000175 	-> 0s, 175.0ms
0 -> 0.562426 	- 0.563717 	| 0.001291 	-> 0s, 1291.0ms
1 -> 0.563747 	- 0.563915 	| 0.000168 	-> 0s, 168.0ms
0 -> 0.563949 	- 0.564222 	| 0.000273 	-> 0s, 273.0ms
1 -> 0.564253 	- 0.564428 	| 0.000175 	-> 0s, 175.0ms
0 -> 0.564462 	- 0.565743 	| 0.001281 	-> 0s, 1281.0ms
1 -> 0.565773 	- 0.565942 	| 0.000169 	-> 0s, 169.0ms
0 -> 0.565975 	- 0.566248 	| 0.000273 	-> 0s, 273.0ms
1 -> 0.566277 	- 0.566447 	| 0.00017 	-> 0s, 170.0ms
0 -> 0.56648 	- 0.567739 	| 0.001259 	-> 0s, 1259.0ms
1 -> 0.567769 	- 0.56797 	| 0.000201 	-> 0s, 201.0ms
0 -> 0.568004 	- 0.569276 	| 0.001272 	-> 0s, 1272.0ms
1 -> 0.569308 	- 0.569477 	| 0.000169 	-> 0s, 169.0ms
0 -> 0.569511 	- 0.569782 	| 0.000271 	-> 0s, 271.0ms
1 -> 0.569813 	- 0.56998 	| 0.000167 	-> 0s, 167.0ms
0 -> 0.570013 	- 0.570285 	| 0.000272 	-> 0s, 272.0ms
1 -> 0.570316 	- 0.570485 	| 0.000169 	-> 0s, 169.0ms
0 -> 0.570518 	- 0.57182 	| 0.001302 	-> 0s, 1302.0ms
1 -> 0.57185 	- 0.572019 	| 0.000169 	-> 0s, 169.0ms
0 -> 0.572054 	- 0.573338 	| 0.001284 	-> 0s, 1284.0ms
1 -> 0.573368 	- 0.573536 	| 0.000168 	-> 0s, 168.0ms
0 -> 0.573571 	- 0.573844 	| 0.000273 	-> 0s, 273.0ms
1 -> 0.573875 	- 0.574043 	| 0.000168 	-> 0s, 168.0ms
0 -> 0.574077 	- 0.574349 	| 0.000272 	-> 0s, 272.0ms
1 -> 0.574379 	- 0.574549 	| 0.00017 	-> 0s, 170.0ms
0 -> 0.574583 	- 0.575855 	| 0.001272 	-> 0s, 1272.0ms
1 -> 0.575885 	- 0.576085 	| 0.0002 	-> 0s, 200.0ms
0 -> 0.57612 	- 0.576363 	| 0.000243 	-> 0s, 243.0ms
1 -> 0.576392 	- 0.576562 	| 0.00017 	-> 0s, 170.0ms
0 -> 0.576595 	- 0.5779 	| 0.001305 	-> 0s, 1305.0ms
1 -> 0.577931 	- 0.578099 	| 0.000168 	-> 0s, 168.0ms
0 -> 0.578138 	- 0.579412 	| 0.001274 	-> 0s, 1274.0ms
1 -> 0.579443 	- 0.579611 	| 0.000168 	-> 0s, 168.0ms
0 -> 0.579644 	- 0.579915 	| 0.000271 	-> 0s, 271.0ms
1 -> 0.579947 	- 0.580115 	| 0.000168 	-> 0s, 168.0ms
0 -> 0.580148 	- 0.580392 	| 0.000244 	-> 0s, 244.0ms
1 -> 0.580467 	- 0.580614 	| 0.000147 	-> 0s, 147.0ms
0 -> 0.580648 	- 0.581956 	| 0.001308 	-> 0s, 1308.0ms
1 -> 0.581986 	- 0.582154 	| 0.000168 	-> 0s, 168.0ms
0 -> 0.582189 	- 0.582461 	| 0.000272 	-> 0s, 272.0ms
1 -> 0.582492 	- 0.582659 	| 0.000167 	-> 0s, 167.0ms
0 -> 0.582694 	- 0.583965 	| 0.001271 	-> 0s, 1271.0ms
1 -> 0.583995 	- 0.584164 	| 0.000169 	-> 0s, 169.0ms
0 -> 0.584199 	- 0.584472 	| 0.000273 	-> 0s, 273.0ms
1 -> 0.584502 	- 0.584674 	| 0.000172 	-> 0s, 172.0ms
0 -> 0.584707 	- 0.58598 	| 0.001273 	-> 0s, 1273.0ms
1 -> 0.586009 	- 0.586209 	| 0.0002 	-> 0s, 200.0ms
0 -> 0.586242 	- 0.586485 	| 0.000243 	-> 0s, 243.0ms
1 -> 0.586515 	- 0.586715 	| 0.0002 	-> 0s, 200.0ms
0 -> 0.586748 	- 0.587993 	| 0.001245 	-> 0s, 1245.0ms
1 -> 0.588023 	- 0.588223 	| 0.0002 	-> 0s, 200.0ms
0 -> 0.588256 	- 0.59748 	| 0.009224 	-> 0s, 9224.0ms
1 -> 0.59751 	- 0.59768 	| 0.00017 	-> 0s, 170.0ms
0 -> 0.597713 	- 0.600313 	| 0.0026 	-> 0s, 2600.0ms
1 -> 0.600344 	- 0.600513 	| 0.000169 	-> 0s, 169.0ms
